Geracao;FitnessMelhor;FitnessMedia;DistanciaMelhor;Venceu
662;1837.00;1177.88;1627;False
663;1837.00;1164.47;1627;False
664;1837.00;1221.05;1627;False
665;1837.00;1180.23;1627;False
666;1837.00;1144.75;1627;False
667;1837.00;1113.12;1627;False
668;1837.00;1180.40;1627;False
669;1837.00;1174.38;1627;False
670;1837.00;1192.92;1627;False
671;1837.00;1173.70;1627;False
672;1837.00;1115.53;1627;False
673;1837.00;1158.53;1627;False
674;1837.00;1293.17;1627;False
675;1837.00;1203.27;1627;False
676;1837.00;1172.20;1627;False
677;1837.00;1181.82;1627;False
678;1837.00;1162.25;1627;False
679;1837.00;1138.85;1627;False
680;1837.00;1220.50;1627;False
681;1837.00;1206.32;1627;False
682;1837.00;1170.97;1627;False
683;1837.00;1155.33;1627;False
684;1837.00;1126.55;1627;False
685;1837.00;1258.88;1627;False
686;1837.00;1127.23;1627;False
687;1837.00;1163.38;1627;False
688;1837.00;1163.20;1627;False
689;1837.00;1124.25;1627;False
690;1837.00;1142.58;1627;False
691;1837.00;1189.50;1627;False
692;1837.00;1169.67;1627;False
693;1837.00;1193.55;1627;False
694;1837.00;1164.55;1627;False
695;1837.00;1219.08;1627;False
696;1837.00;1176.05;1627;False
697;1837.00;1210.27;1627;False
698;1837.00;1252.08;1627;False
699;1837.00;1141.98;1627;False
700;1837.00;1224.33;1627;False
701;1837.00;1132.27;1627;False
702;1837.00;1198.17;1627;False
703;1837.00;1164.72;1627;False
704;1837.00;1178.13;1627;False
705;1837.00;1201.63;1627;False
706;1837.00;1204.17;1627;False
707;1837.00;1178.27;1627;False
708;1837.00;1117.55;1627;False
709;1837.00;1187.68;1627;False
710;1837.00;1173.02;1627;False
711;1837.00;1167.03;1627;False
712;1837.00;1203.87;1627;False
713;1837.00;1199.48;1627;False
714;1837.00;1124.67;1627;False
715;1837.00;1167.62;1627;False
716;1837.00;1180.00;1627;False
717;1837.00;1155.13;1627;False
718;1837.00;1191.77;1627;False
719;1837.00;1209.62;1627;False
720;1837.00;1199.53;1627;False
721;1837.00;1293.25;1627;False
722;1837.00;1187.27;1627;False
723;1837.00;1170.73;1627;False
724;1837.00;1218.95;1627;False
725;1837.00;1202.65;1627;False
726;1837.00;1187.18;1627;False
727;1837.00;1208.33;1627;False
728;1837.00;1171.75;1627;False
729;1837.00;1186.78;1627;False
730;1837.00;1224.93;1627;False
731;1837.00;1162.77;1627;False
732;1837.00;1145.30;1627;False
733;1837.00;1169.20;1627;False
734;1837.00;1194.75;1627;False
735;1837.00;1173.73;1627;False
736;1837.00;1233.60;1627;False
737;1837.00;1192.60;1627;False
738;1837.00;1198.05;1627;False
739;1837.00;1194.92;1627;False
